0.110973570048518-0.00547305228273139i,0.10776687163617-0.00597670185700764i,0.107165211026746-0.0063320957096541i,0.106558961363241-0.00648856565733705i,0.106086309875063-0.00559046370050435i,0.103767795180863-0.00425587929009556i,0.104544743072614-0.0038699866069619i,0.105084423264201-0.00388139231446431i,0.108913511134844-0.00457659827128665i,0.117933246465619-0.00645336378308089i
0.109770468977921-0.00368208216781645i,0.105732292056197-0.00450857248846943i,0.105013171588001-0.00491617497934145i,0.104312794378982-0.00526532266148101i,0.103527788922778-0.00527503686171172i,0.102448766278342-0.00335486395346618i,0.103323526529689-0.00292622218821953i,0.103869354893898-0.00319871099754167i,0.107390012821021-0.00369123413278272i,0.115687893625816-0.00522587903774188i
0.108937261564314-0.00297610495552434i,0.104519026187309-0.00312879276980711i,0.103722198472244-0.00351958484799974i,0.102948709739018-0.00358984486278265i,0.101676142093249-0.00339499874588338i,0.101665944211379-0.00242446489004803i,0.102672927413658-0.00209772474647037i,0.103098472700234-0.00201298938786395i,0.106296067447911-0.00238087581975463i,0.114258407298491-0.00423457967097521i
0.108215230040267-0.00244909614256069i,0.10372882565395-0.00254430498237004i,0.102851631906743-0.00279886952108034i,0.102107052080037-0.00300485584084893i,0.101072970827681-0.00249293342283844i,0.101108465751825-0.00185808732693678i,0.10210330493352-0.00155548436942884i,0.102843428191677-0.00171297642640014i,0.105806006321248-0.00202677055090474i,0.11324307669151-0.00380900215780517i
0.10692898782544-0.00246440835256253i,0.102350628883664-0.00252293570018958i,0.101210719021075-0.0025091402218519i,0.100683169274328-0.00246607529601017i,0.0997885545169589-0.00238648044869696i,0.0999931838023928-0.00183267524145727i,0.101309648186386-0.00183818167659941i,0.101968108692857-0.001720301761863i,0.104750952673306-0.00225683603891093i,0.111026252845845-0.0046524833677584i
0.106233827186597-0.00317475413690507i,0.101694366696103-0.00281652541164174i,0.100603226249877-0.00288440338374545i,0.0999307937601128-0.00273759691032989i,0.0990386261841187-0.00269328229852517i,0.0995964104996455-0.00229975068835957i,0.10078276933468-0.00234328544661832i,0.101440043412676-0.0023399489727649i,0.103965276257809-0.00288811022666475i,0.109056550435005-0.00569863758463933i
0.105357940619112-0.00364623479484272i,0.100766723191934-0.00326550737918891i,0.099886816772209-0.00335169715857491i,0.0985126236428811-0.00330210578496732i,0.0983740791686442-0.00303279739331801i,0.0991059825973609-0.00285640590205091i,0.100184609261682-0.00293715162569551i,0.100473146344836-0.00311408591429479i,0.102727057640482-0.00400874608034914i,0.10633999930896-0.00665250338376018i
0.102248299964195-0.00623554170518036i,0.0985001614371062-0.00494884871378164i,0.097424068514277-0.00475332141327115i,0.0967000781006031-0.00440277514831163i,0.0961407529708941-0.00427712658930309i,0.0969088913464709-0.00424676432517032i,0.0977447574226046-0.0045198172359404i,0.0984495364069533-0.00474099312280505i,0.099835490817931-0.00582535570058381i,0.101732997797782-0.00752598165022858i
0.0983665522282141-0.00785731548293681i,0.0956782950287947-0.0063469780389257i,0.0946893139743522-0.00598628028186965i,0.0943410040583493-0.00573974160631708i,0.0937760580845531-0.00547833090033738i,0.0945557795287694-0.0055933472465138i,0.0954112404590028-0.00596503333792393i,0.0956117028141007-0.00600589922117079i,0.0966538187081467-0.00660961153585631i,0.0978360332118055-0.00770995094156447i
0.0944700820034164-0.00830878218258519i,0.0924171233820494-0.0071135886389442i,0.0917081498794711-0.00671911498795007i,0.0913689829237853-0.00634903287461384i,0.0910287406781398-0.00607656769298951i,0.0914476706163286-0.00625893070595118i,0.092197793644922-0.006489986500062i,0.0924119841892857-0.00655324918630441i,0.0932995298346081-0.00688437041089196i,0.0944920529270691-0.00735629013839105i
0.0890971978401438-0.00780452830976973i,0.0876663665257522-0.00695453409645662i,0.0871285471243701-0.00665746861978413i,0.0869360069791941-0.00638591617327275i,0.0869781741592586-0.00619153449583432i,0.0872905200452703-0.00642956090971304i,0.0877581064081853-0.00650373427968i,0.0881227706187273-0.00648492267814507i,0.0887996165740257-0.00649604904244306i,0.0901188022703378-0.00674850478170931i
0.0854507705418686-0.00698161952950221i,0.0845938542448658-0.00623878177632543i,0.0841116219485909-0.00592196694141781i,0.0839718723844431-0.00584227851310951i,0.0838768728810607-0.00568651972635458i,0.0842129413634608-0.00577744381162706i,0.0849276106214851-0.00583491583561i,0.0850246855092464-0.00586155249944033i,0.0860165457458269-0.00587202098153549i,0.086891296623192-0.00616497413522746i
0.0825629671527624-0.00583808680876292i,0.0818386415116092-0.00526737237239767i,0.0816091499398173-0.00505629042382859i,0.0815051727058402-0.00490418425190991i,0.0814525549223589-0.00481571939658953i,0.0818522888967739-0.00482989548432096i,0.0822566222273677-0.00500876269925622i,0.0824771655927531-0.00504467022743874i,0.0832728915914098-0.00506959260927884i,0.084372865329529-0.00505727036878067i
0.0796810249508533-0.00404468121863557i,0.0792705156114722-0.00376420286995602i,0.0788288902800027-0.00344201654835451i,0.0788720847406654-0.00357221076102571i,0.0787624165416349-0.00345434832640213i,0.0791873126476042-0.0035032520463323i,0.0797088385612954-0.00353410054176741i,0.0799362911600626-0.00348862154423045i,0.0806114605178115-0.00360733199840731i,0.0816579473833468-0.00365423758034499i
