1-0.193782385670429i,1-0.215524729670144i,1-0.227983360613161i,1-0.24203499833439i,1-0.220993365118981i,1-0.183056257250901i,1-0.168992197515195i,1-0.159473538717333i,1-0.160176683756485i,1-0.180166003276994i
0.959449092460527-0.128666301030316i,0.918547914155927-0.169048897359306i,0.919702981404992-0.191569155893219i,0.91322772592059-0.196093812308468i,0.896723659216862-0.207427588915533i,0.936802854210791-0.142378159625281i,0.953186061433076-0.130064398374176i,0.949551391742416-0.122054789897432i,0.943054565608075-0.135204331988917i,0.933580448553667-0.148861181035767i
0.934737907898577-0.100790224899146i,0.869647687421933-0.117808422568841i,0.866007469534547-0.134573308834609i,0.860232586132407-0.141117130725431i,0.829288738019775-0.130564773464595i,0.897078604592447-0.103169300905328i,0.918494082738623-0.0814476098191359i,0.92047110870962-0.088310845950719i,0.900964038015848-0.0943356074958738i,0.891298751286077-0.123382186655512i
0.905137517965144-0.0798714712191671i,0.843503280474811-0.0977895315125017i,0.835095399760912-0.108436691565575i,0.831618171273331-0.107666826021316i,0.803989407488564-0.103076733192639i,0.8778565108216-0.0759722264590461i,0.904620731422551-0.0669750372706737i,0.90399045219805-0.0660052448047056i,0.882818650984022-0.0790955315409745i,0.858907918448524-0.112102517343216i
0.87184906991411-0.0811400897198122i,0.801315461467507-0.0886083285713061i,0.778443991547191-0.10150458031052i,0.776884177307527-0.0994288694066192i,0.755419655845713-0.0887552764662295i,0.843387889964932-0.0773481802183286i,0.881659195309303-0.0697560470399312i,0.871140610264594-0.0760268853126182i,0.844866009214652-0.0860290280341684i,0.792823962390603-0.133867165608042i
0.840689457781413-0.10280159959705i,0.768276565044089-0.0995094502924577i,0.747922876940444-0.102949327782778i,0.737220606529754-0.104077611877355i,0.724861228882592-0.0991142387557436i,0.811355544764457-0.0919469177362623i,0.84795934919421-0.0885979530592822i,0.841242392082338-0.0950671908983986i,0.816537424050867-0.110752622847711i,0.736465876569149-0.168195904820815i
0.793693250328967-0.133520321146779i,0.727580660912237-0.120430758860301i,0.70721900011776-0.110144077674776i,0.691641185370947-0.1218880592045i,0.681891355310134-0.105677349006155i,0.783671560997829-0.11981925462804i,0.813456690720478-0.12254890810534i,0.810331799229243-0.124833793715567i,0.761359968604267-0.14409732653223i,0.650110463335203-0.194584018418712i
0.70552630337061-0.199244529201788i,0.652085932946652-0.163861003941802i,0.631145992507062-0.16573573884748i,0.628491505740928-0.159370722051387i,0.616523613336302-0.155475036759553i,0.705119291415528-0.172874517042827i,0.738765898912941-0.186741896261899i,0.723237840000359-0.182808652021392i,0.656883737362401-0.197934963683843i,0.516384105499146-0.203277587560744i
0.59789953583912-0.23237067944105i,0.563286512423705-0.210085777478904i,0.548953221745639-0.199622430926595i,0.541611794646406-0.192016591108338i,0.535268158667301-0.194518935253408i,0.611691457914069-0.218179287656376i,0.630462411447112-0.228815516688946i,0.610514323197419-0.235763915695067i,0.557440218587824-0.219989286522705i,0.424877048320229-0.198236062786297i
0.47339326299271-0.252631196978549i,0.457659390369503-0.226324872630417i,0.444729062086613-0.224234642872262i,0.440196655089437-0.217314204729006i,0.434729862823429-0.211338824925206i,0.502861436809414-0.241609520544876i,0.512859009116138-0.252267431435714i,0.487146374048538-0.25140672845549i,0.439052170079968-0.232516325156072i,0.340886882753475-0.190226515004135i
0.31840556716006-0.243028256800387i,0.306267371732188-0.230527873713795i,0.29584143568256-0.224271617086239i,0.295023630490601-0.222196028031448i,0.286923903574634-0.218998278577668i,0.342931345914416-0.246041272062752i,0.343268246612315-0.25803966224325i,0.332516672974353-0.240996962084419i,0.294654005897542-0.219596364165905i,0.224591490757716-0.174304284826577i
0.201688326241426-0.225397339407021i,0.201098602074726-0.21663643673017i,0.193407524959208-0.206515398395126i,0.186704960043519-0.20073309486276i,0.18631917695452-0.204126815090646i,0.215051040663227-0.228711935514978i,0.222292787076174-0.239910506315727i,0.212843916839148-0.227326760501837i,0.193753272528243-0.20940890022818i,0.150371301032769-0.165228483838163i
0.103747971028966-0.190837275386417i,0.101718070169943-0.186076657228761i,0.0979366954178596-0.176545659845648i,0.0992869265100169-0.180740853240789i,0.0977202342671528-0.172803981389563i,0.112362685400478-0.207128417006779i,0.10880454288064-0.207940375305266i,0.11758040415175-0.196423502928267i,0.102267965996577-0.179486053683i,0.0719133549770525-0.140369463475042i
0-0.137729515404036i,0-0.131662048685377i,0-0.126781042600633i,0-0.138198891887294i,0-0.127633068026147i,0-0.145506050952012i,0-0.155968744111094i,0-0.149477028953281i,0-0.142049235436191i,0-0.108093779664784i
