0.0681016826829699-0.00407308837639501i,0.069987765419671-0.00484005261496363i,0.0697201098016747-0.00528268621404753i,0.0690856426968521-0.00538435733522175i,0.0689803488674355-0.00420589393906668i,0.0668382093180645-0.00338697564282288i,0.067117012339535-0.00294460040282523i,0.0679105367844506-0.00305075996294583i,0.0692195666833384-0.0031444883986299i,0.0718751317014823-0.00398364137674741i
0.0673518707045103-0.00280833386233261i,0.0683595785407697-0.00397770726984559i,0.0679224010664584-0.00423471933473669i,0.0673576140243059-0.00431628873052533i,0.066711504184696-0.00451555574960915i,0.065691089692935-0.00278230754200235i,0.0661246165968999-0.00236256768362981i,0.0668659167412383-0.00248092302833563i,0.0680500532125682-0.00267263219518254i,0.0705163122811433-0.00326014471987167i
0.0666496213044249-0.00205108255250371i,0.0670819457952917-0.00272019126658752i,0.0666725342688798-0.00289899297342321i,0.0660302272056872-0.00290562520181943i,0.064986366987895-0.00272911746940845i,0.0647251445751353-0.0018481109543164i,0.0654358342296046-0.00156837453768221i,0.066155060495127-0.0015671899705351i,0.067222080761637-0.00171490005318015i,0.0695834472663974-0.00222457141065791i
0.0660612593162047-0.0016034410845352i,0.0665650160779471-0.00209372067920236i,0.0660484616595959-0.00214434190297666i,0.0654778022466822-0.00215611782387244i,0.06467629946302-0.00188988337052496i,0.0644894590660006-0.00125729487593245i,0.0651344718489849-0.00119431882645254i,0.0659698896060677-0.00123776465672024i,0.0669369107927326-0.00128159669273584i,0.0691024644038501-0.00178118786258994i
0.0653899169833384-0.00154017032783627i,0.0656435932811145-0.00183413093193169i,0.0650388804707092-0.00189491194199191i,0.0644982382740481-0.00183373888746599i,0.0637730103118243-0.00174089470049777i,0.0639371705958474-0.00128199397447023i,0.0646660722573897-0.00119674699922839i,0.0654502154469551-0.00121117609331053i,0.0663864840963216-0.00131608697002599i,0.0683553000925377-0.00173011195373451i
0.0649380983533736-0.00178619775507425i,0.0651266592205408-0.00210684942045481i,0.0644023121321075-0.0021207817522448i,0.0639289494861133-0.0020154618177702i,0.0632794619244543-0.00183350384699596i,0.0635755555656896-0.00147831516254642i,0.0643359514677841-0.00152979658952779i,0.0651315320989327-0.00156536509053995i,0.0659629673672554-0.00166996634095036i,0.0677283284221794-0.0021011376609939i
0.0642702522858379-0.0023022461272436i,0.0643729961329272-0.00263812768806231i,0.0636599314716966-0.00254080076495719i,0.0631951175495814-0.00242554806866393i,0.0626151294517382-0.00226051594886123i,0.063021787630114-0.00207004280412463i,0.0638772448056511-0.00210522803345289i,0.0644591536147116-0.00219751756249489i,0.0653218516774374-0.00232916504357359i,0.0669839030793941-0.00278998033121778i
0.0627950672301722-0.00355167327859425i,0.0627061238819213-0.00376149525042757i,0.0620554624769028-0.00367071764508407i,0.0616836126022334-0.00345180511102194i,0.0612490952020785-0.00329710895055589i,0.0617511165445367-0.00319002761585895i,0.0623485767554152-0.00338534776497471i,0.0630560238671045-0.00354124757799205i,0.063854479325407-0.0036760766577053i,0.0651220004133464-0.00423815484439307i
0.0608988034809479-0.00457413497001874i,0.0606966670479056-0.00470967194124631i,0.0602402886979534-0.00455507868369336i,0.0598041377100566-0.00434722291304306i,0.0594296005359845-0.0041424110554654i,0.0599472321127102-0.00418000302107951i,0.0605223302285752-0.00432436063364426i,0.0611536515304776-0.00458133349132144i,0.061771119641071-0.00471907127258313i,0.0627831651054045-0.00522907200694982i
0.0584207871131557-0.00534384149114425i,0.058175829661081-0.00540084559786354i,0.0577752924124352-0.00517025182510828i,0.0574283347154778-0.00494721562687753i,0.0572311268140247-0.00474443143715309i,0.0576163624223886-0.004842612915852i,0.0581254165930458-0.00502246422569624i,0.0586188317138015-0.00521637041163263i,0.0592199917339964-0.00546538403608738i,0.0598804050458585-0.00582109767140629i
0.0547457682594105-0.00552828030828833i,0.0545875717943005-0.0054389339960486i,0.0542389243822322-0.00528269972215277i,0.0540492588577603-0.00508051452862612i,0.0540113144065081-0.00495820282411874i,0.0542520587309272-0.00500187768689763i,0.0546858232898725-0.00514371997796276i,0.0550242251224178-0.005295734474689i,0.0554563771583007-0.00544439247418593i,0.0560416426106964-0.00558873562341063i
0.0520216453897905-0.00515971198005144i,0.0519176440213367-0.00505195576273695i,0.0517677409849335-0.00491734008847351i,0.0516378098096975-0.0047367896824334i,0.0516632220155204-0.00459973597111162i,0.0518834904275697-0.00463802033111263i,0.0522666994598417-0.00477189343381398i,0.0525947475870752-0.00486821610458835i,0.0529580464993156-0.0048467678656558i,0.0535405169498762-0.00491521665212907i
0.0497371617021578-0.00441389493068613i,0.0496101935815322-0.00435944280316501i,0.0494924392143749-0.00421123531748421i,0.0494687990758373-0.00405921931868205i,0.0496213291883825-0.00396538279281269i,0.0498094678461159-0.00403247706608363i,0.0501214222397155-0.00403940308819321i,0.0504395257346039-0.00408691902657674i,0.0508196666111297-0.0040877825111907i,0.0514094124470745-0.00420022028464285i
0.0474185170932782-0.00308824468016643i,0.047371686548013-0.0030280860905566i,0.0472222913665557-0.00291438575049806i,0.0472811705801665-0.00288199284082553i,0.0473598404969796-0.00280872903252694i,0.0476788034554742-0.00280589780524125i,0.0479393377259144-0.00291971223698119i,0.0482479502837238-0.00289216100705699i,0.0486120337593969-0.00291094729899511i,0.0491572378588055-0.00298739522344118i
