0.0994087377106047-0.00555187754474077i,0.0948986276774003-0.00537898078295497i,0.091893095619866-0.00578326717846596i,0.0905561647650793-0.00592601494185691i,0.0894652893672481-0.00603177445820279i,0.0893738719953304-0.00606886574933176i,0.088998280298178-0.00609899025740829i,0.0887197556983638-0.00612136567512575i,0.088521838368301-0.00547798376115599i,0.0875113586997629-0.00432266492202969i,0.0867225882553544-0.00388964413314823i,0.0864116173160351-0.00361567491915121i,0.0861955592565388-0.00365249885665449i,0.086764778848903-0.00364105150791156i,0.0877390608588384-0.00357598960883263i,0.0894723244527722-0.00382815292563782i,0.0925691673511251-0.0039739187542221i,0.0972039727508985-0.00461752974975742i,0.103941989651521-0.00573327864381432i
0.0981768823309249-0.00363636388162329i,0.0933672258305438-0.00413313611336627i,0.0899847856491011-0.00448767369999338i,0.0884621222847231-0.00469375850687145i,0.0876570742724055-0.00478617784168844i,0.0873871127422529-0.00487093372832504i,0.086995637130802-0.00500496371398874i,0.0864287801302939-0.00499692630061118i,0.0861566486987059-0.00526622306294463i,0.0857557164180317-0.00405836246024223i,0.0851900575516977-0.00322222924502182i,0.0852144781208884-0.00295251957142752i,0.0851633269767159-0.0027501988297797i,0.0853667150368665-0.00267136673072939i,0.0865026679826574-0.00300165219195403i,0.0880979473395922-0.00292725820916219i,0.0911147398174272-0.00338392453315431i,0.0954472879596534-0.00384093406825215i,0.10219452696141-0.00445193109534077i
0.0974157076275533-0.00275652587702627i,0.0921056882192554-0.00307592361721014i,0.0886459030572193-0.00316147124539983i,0.087165244574844-0.00332641951372035i,0.0862096093921419-0.00353416734975522i,0.0858291631187092-0.0033394900844766i,0.0856011936509235-0.00343500835226766i,0.0848931517049745-0.00354636622805785i,0.0841014464968741-0.00325821675930127i,0.0844047171010838-0.00268772526252239i,0.0842331786391295-0.00222368452152036i,0.0844016762213045-0.00195250993427276i,0.0844941802395071-0.00174593557685753i,0.0848772105987945-0.00176253553835062i,0.0858159155701862-0.00186327238610907i,0.0873771175602168-0.00219472501965344i,0.0901177305091878-0.00227071055577756i,0.0946517082277029-0.0025776518013606i,0.100762016827061-0.00354251284823272i
0.0966347685447992-0.00238957584982654i,0.0914608447506755-0.00228670752629199i,0.0882097433288568-0.00224747998395959i,0.086391326098562-0.00247369690952046i,0.0854168494155991-0.00266121592719987i,0.0853457477199963-0.00275940788509353i,0.0849403102000635-0.00256088777516734i,0.0841331417063013-0.00244588006625788i,0.0838938285000262-0.00256330173494776i,0.0835574379819283-0.00210470508060457i,0.0841499374493204-0.00172387421502934i,0.0838115319783108-0.00145001140713027i,0.0841032491020264-0.00159064708218472i,0.0844777393051279-0.00169976666289843i,0.0856391017805318-0.00175889944434784i,0.0868525101777978-0.00148390606390513i,0.08956084892593-0.00177752223781252i,0.0942241072378875-0.00219029201436751i,0.10014295247371-0.00275866680572945i
0.0955128635696476-0.00277430136963712i,0.090275370803864-0.00265543924709535i,0.0868567452894332-0.00247697592945552i,0.0852721714952115-0.00242132961117143i,0.0845447161629543-0.00245633717118137i,0.0840974417975045-0.00250304705711126i,0.0834655119870741-0.00247255185362516i,0.0829265529694994-0.0023562906888003i,0.0825553845151812-0.00235363747483197i,0.0827288900365764-0.00201719755007748i,0.0828945590243773-0.00161549792844001i,0.0831305822747544-0.0015558439564785i,0.0832782745564108-0.00133244282391291i,0.0838203767290374-0.00176212679476645i,0.0847993467442281-0.00175808448480077i,0.0862785710095094-0.00176353612503018i,0.0888652524334312-0.00193314835698372i,0.0929134178098428-0.00238657122710425i,0.098556125966724-0.00328676420852242i
0.0946967027443495-0.00374529982310082i,0.089500336521774-0.00332493088639196i,0.0860212203673173-0.00302592458328062i,0.0846020328106012-0.00287222990843126i,0.0838330467271318-0.00279023519814091i,0.0832888681202346-0.00287462416406939i,0.0830091388370388-0.00269274189703383i,0.0821911349822403-0.00270798989627991i,0.0819280711668037-0.00281697699306514i,0.0821144687740366-0.00241919665589734i,0.082427120415613-0.00232614224074715i,0.0826701295215841-0.00223622951266868i,0.0828743330134029-0.00227694113832396i,0.0833285177755542-0.00225991049133966i,0.0843350605040222-0.00227776235218448i,0.0856961597177132-0.0025201205165921i,0.088094441210821-0.00275136967330613i,0.0921744328515753-0.00314344610054172i,0.0974226425699035-0.00440855316382757i
0.0931408505495703-0.00502634652271769i,0.088183926992001-0.00398039055720479i,0.0850573185248025-0.00400309340075654i,0.0836333654315465-0.00373999631169857i,0.0824946810847013-0.0032766518361927i,0.0823776033558361-0.00332670607585196i,0.0819368016650906-0.00331259340729013i,0.0810113721316775-0.00319156633873006i,0.0812417869008348-0.0029638849362616i,0.0810141525246183-0.00298275171736648i,0.0818884865437796-0.00292616686802407i,0.0818028161227206-0.00315270146385656i,0.082109988428775-0.00314693913808496i,0.0824729196083505-0.00288614061192806i,0.0833773379063511-0.00298521306103721i,0.0846981006290715-0.00344087952514587i,0.0872785680638518-0.00367357864662874i,0.0908753308307566-0.00387321790723936i,0.0957246344705888-0.00515972759805086i
0.0892818920558208-0.00775635449266087i,0.0850840828916549-0.00625080145341159i,0.0823386877537746-0.00567121762049412i,0.0809428884027103-0.00533408078050408i,0.0802450634857405-0.00514266127650501i,0.0800724197663274-0.00511190700835582i,0.0793854344311334-0.00475736155932597i,0.0789644674742406-0.00469653313322876i,0.0785096207478111-0.0049040486569212i,0.0790592800271047-0.00455955915379664i,0.0796496363979036-0.0046320682538251i,0.0799224293661402-0.00445274295236453i,0.079972753323024-0.00449349163722616i,0.0803784121068212-0.0047395766097802i,0.0813970794859622-0.00481686354045227i,0.0828540095395357-0.00535665934878352i,0.0847166200676975-0.00571090510656384i,0.0876581547882209-0.00625750201588389i,0.0914109255488161-0.00723423820377906i
0.084840126344327-0.00927365136800533i,0.0817182696807107-0.00795726966496716i,0.0790804841610521-0.00695111862307978i,0.0782235299281107-0.00670227590355608i,0.0775386519808687-0.00631421761393404i,0.0771094212324764-0.0060088375036952i,0.0769015402551536-0.00605768948205368i,0.0763801478924583-0.00602143888428722i,0.0761722126236021-0.00573037159065611i,0.076667038507479-0.00572660561180356i,0.0771683229266238-0.00571256188347436i,0.0772858277946992-0.00572430775860732i,0.0773267683982666-0.00588651877524343i,0.077971982046119-0.00573035754070505i,0.078518202961259-0.00609822151012535i,0.0796111557258122-0.00639673864689246i,0.0812930539828575-0.00688122109175901i,0.083953467698452-0.00725461965979989i,0.0873937540072953-0.00807294538054197i
0.0800518382802048-0.00962857618446409i,0.0772233793871689-0.00856223575253853i,0.0753492762300672-0.00780215306989561i,0.0747023878013851-0.00729215484986032i,0.0739742978328942-0.00723146133782869i,0.0740670678816019-0.00685094003934901i,0.0737811772112315-0.00673535196935465i,0.0733933927654576-0.00682492568274816i,0.073284263045837-0.00635516037948802i,0.0738341333442429-0.00614275877179894i,0.0740632939958177-0.0062833046348775i,0.0742603326948057-0.00645121029869819i,0.0742780675084216-0.00646568159362626i,0.0746054028051899-0.00663680665990919i,0.0753330537785362-0.00674629532828845i,0.0760071250644385-0.0071749743188687i,0.0776877102719097-0.00728617913296769i,0.0803443186416965-0.00763880250586829i,0.0834986694728342-0.00792001945555194i
0.073773233705186-0.00867265499568498i,0.0716721051892166-0.00807760057073979i,0.0703436995006635-0.00756019868053457i,0.0695592101045616-0.00730513087106324i,0.0693309120118361-0.00712428289638667i,0.0692301539150837-0.00680099127769427i,0.0691751824995704-0.00659598673600222i,0.0686043055361866-0.00670046025387983i,0.0688721596465139-0.00655379931535056i,0.0694443102858162-0.0064538547319002i,0.069648801408112-0.00648933531234108i,0.0696899504964283-0.00644607970917983i,0.0697721352138712-0.0064254815391567i,0.0702516310325001-0.00653281745186721i,0.0707084176504501-0.00649971831392236i,0.0715231189711237-0.00671238820543024i,0.0729994960245626-0.0069474894480823i,0.0754690827478419-0.0070304916825149i,0.0786567595092418-0.00727005755069051i
