 w0.0817268340283639-0.00451692582857998i,0.077638983096132-0.00533551402818325i,0.0750898231104703-0.00537915881182926i,0.0734790585491066-0.00526571228065017i,0.0723528141514276-0.00384768508951389i,0.070568225905484-0.00334026334850957i,0.0707397593922457-0.00314101281620558i,0.0721098416072312-0.00319695433339018i,0.0752207935736975-0.00374952632365201i,0.0817265512983995-0.00527382846714974i
0.08059354822854-0.00323687695162449i,0.0759372445125245-0.00409761786598854i,0.0733986429456279-0.00420028008334832i,0.0717282446145806-0.00434750243203075i,0.0705256195839941-0.00372869090629456i,0.0694235944284324-0.00278191558971388i,0.0697998226936513-0.00250234427818812i,0.07098326468635-0.00264702937283826i,0.0737571982603945-0.00317609017643798i,0.0800692344990426-0.00437476528937022i
0.0797607441858594-0.00250475634202077i,0.074671270988027-0.0027686820257537i,0.072176055544781-0.0028501816512608i,0.0704515011204675-0.00287073925458306i,0.0690725122330512-0.0023805167377807i,0.0685996687574489-0.00167435682813768i,0.069080904846721-0.00161899460094846i,0.0701794687435213-0.00171222752207144i,0.0727737291923539-0.00204786287904182i,0.0786974205354827-0.00329231676156801i
0.0790983394669249-0.00212658320724328i,0.0741315670872552-0.00214150953861045i,0.0715344883352055-0.00215021724361864i,0.069874852055371-0.00201865924895373i,0.0687746579423857-0.0016495178360282i,0.0684433373232269-0.00128552561451093i,0.0689199048379542-0.00114836795701913i,0.0699171153612358-0.00121584357585113i,0.0725785175886448-0.00155994484320269i,0.0779364867339946-0.00289824838226091i
0.0781850638804516-0.00230714762096151i,0.0731692114718497-0.0021021135165657i,0.0705278031157283-0.00189342611724158i,0.0689354219308372-0.00183407853947267i,0.0679188143389806-0.00153725897752859i,0.0679088927155812-0.00118076740642972i,0.0683652437455472-0.00118687326471723i,0.0694520036611423-0.00124862169390053i,0.0717987037229045-0.00167643713721894i,0.0764164733934965-0.00338947568896063i
0.0774866314300519-0.00292608963265911i,0.072597479253785-0.00229508112626996i,0.0699875372162406-0.00213892463776i,0.068379998915827-0.00209510656437344i,0.0674703847806311-0.00175435951478142i,0.0674552700372753-0.00152081816969864i,0.0681041942492109-0.00153089091290169i,0.0690314104318413-0.00155490646737531i,0.0712119565381412-0.00216286391228926i,0.0749161280981484-0.00411502510330231i
0.0763794275938582-0.00405444660036786i,0.0716548528318435-0.00303301683157257i,0.0692031600593981-0.00264145707984251i,0.0676564291733155-0.00247563545265146i,0.0667913009290368-0.00214425843205252i,0.0669220190277765-0.00200159929623762i,0.0676675407331475-0.00194664868480799i,0.0684542493493109-0.00227650716168126i,0.0704322057265834-0.00286297842738165i,0.0728522910384568-0.00501649081497901i
0.0734943298184364-0.00623154966235303i,0.069634376164687-0.00458522947679344i,0.0674742846168667-0.00396570360947134i,0.0661549772453407-0.00354907749110914i,0.0655242307492055-0.00326657149281434i,0.0657070150834595-0.00319935667329295i,0.0662531005321412-0.00330522232477815i,0.0669517784603279-0.00358611652371705i,0.0684398818131001-0.00431813140873896i,0.0695034756178269-0.00580702430660996i
0.0699060424392131-0.00758924020913873i,0.0672013034553327-0.00583662046396862i,0.0653751547258894-0.00508122420606059i,0.0642674306831176-0.00457258543921963i,0.0638122416050543-0.00423385514104665i,0.0640088412946851-0.00410312271232588i,0.0643815292598348-0.00433292805950236i,0.0649809769802686-0.00461293811129263i,0.0659802610483065-0.00521359487816794i,0.0666853801663888-0.00610979384761478i
0.0657655708455098-0.00788658152516988i,0.0639775384241378-0.00650529586355298i,0.0626614071168706-0.00577165949391472i,0.0617839924555877-0.00527664500169061i,0.0614854248892965-0.0049367763568881i,0.0616870503354677-0.00492867457044541i,0.0620560380477229-0.00501460263775073i,0.0624316946453863-0.00525120669340857i,0.0631114380376392-0.00558880808450415i,0.0637373626233512-0.00598120348017074i
0.0609093904983938-0.00718762947155865i,0.0596301362665456-0.0062669908864334i,0.0587918301062857-0.00575981534090214i,0.0582063103339744-0.00536756934919696i,0.0580737746699808-0.00501059734197413i,0.0582179079599336-0.00513215716337106i,0.058595939189784-0.00514870444099768i,0.0589356960477856-0.00518873463373988i,0.0596838601974606-0.00539075860709283i,0.0602357306581815-0.00550610792686094i
0.0577227880016191-0.00614613807286158i,0.0566823414118568-0.00553455250549601i,0.0560758398965416-0.00516773669618132i,0.0556799873197708-0.00491429338070753i,0.0555641947940303-0.00471150421904471i,0.055727394553259-0.00470546767537117i,0.0560907894383397-0.00477344673370673i,0.0564955663212058-0.00475208204446108i,0.0571035132631691-0.00488133589672639i,0.0577204976173213-0.00500035883247785i
0.0551302404635897-0.00517866395121511i,0.054180546288125-0.00468764906648887i,0.0537886282818757-0.00432618316412542i,0.0534797002191556-0.00415824236980765i,0.0535352399295071-0.00406598675800119i,0.0537754246958983-0.00403671160463026i,0.0540256132646123-0.00405619086742197i,0.0543526512609224-0.00408990847909731i,0.0550553195643315-0.00428898978206276i,0.0555388198761233-0.00431410338210574i
0.0525932966804702-0.00367627540418611i,0.0518544330804054-0.00329003384339474i,0.0514755746796014-0.00324359712689986i,0.0512754243633885-0.00302077574888935i,0.0512931216492887-0.00291791634292798i,0.0515775995153772-0.00300815646961475i,0.0519213771307947-0.00290121673486098i,0.0520970246508633-0.00302099716210085i,0.0527876830227913-0.00315826495245864i,0.0532545020030036-0.00316459020726698i
