0.105531305826313-0.0050480711703967i,0.104477244194943-0.0056133705349074i,0.103700367615045-0.00601054453113773i,0.102954330490517-0.00608355297802419i,0.103253696194081-0.00543129661386974i,0.100813585652531-0.00407494769823432i,0.10100983919867-0.00372033135277513i,0.102256360333057-0.00380744895142386i,0.10496826205592-0.00428572262903223i,0.112756164680073-0.00604735748110373i
0.104567384870781-0.00346957355292457i,0.102868409606731-0.00429780934116092i,0.101700642547825-0.00459330835877854i,0.101088666809028-0.00479194922844721i,0.100819411699998-0.00510600826059318i,0.0993709811554957-0.00320659421543787i,0.0998966550168488-0.00278660638211554i,0.10104795696118-0.00301021006164887i,0.103586910158566-0.00345111656212379i,0.110778776863994-0.00471803553046386i
0.103748974221951-0.00262779024254777i,0.101588263369603-0.00305084533455286i,0.100404278156018-0.00323150911379714i,0.0996695829092127-0.00330865101226644i,0.0990752766271095-0.00327059359682321i,0.0986126958570621-0.00210806274587197i,0.0991912333912143-0.00184541630855739i,0.100368166309478-0.00191147444453247i,0.102544876904627-0.00230455942494938i,0.109272655448008-0.00386465703737758i
0.102864003296497-0.0020149910880576i,0.100936607559035-0.00234035399289783i,0.099635235725858-0.00240061148331902i,0.0990424890971679-0.0024444036959336i,0.0987631317113393-0.00229043048208931i,0.0982495180616895-0.00150741604726159i,0.0988582441692185-0.00137997537485977i,0.100022025724691-0.00149801383342915i,0.102231114993004-0.00194222606725762i,0.108393410876568-0.00363416242666925i
0.102171077902205-0.00207101650683549i,0.0997516809984743-0.00223972133201902i,0.0984381729444224-0.00232636763284896i,0.0978818429658089-0.00213086342879963i,0.0974349739439103-0.00207387096593169i,0.0974906189200128-0.00148347514339346i,0.0982408557798384-0.00151913607862744i,0.099296714748625-0.00153512312954073i,0.101209577655863-0.00215001268237456i,0.106253977472881-0.00445971947238347i
0.101511086968645-0.00249241333930475i,0.0991226090308543-0.00241494350184139i,0.0976835770942056-0.00242228954040309i,0.0969530081217177-0.00245226415906477i,0.0968060851186411-0.00212719479794816i,0.0969742091192426-0.00185482845594525i,0.0977687886260852-0.0017850361597959i,0.0987745707569153-0.0020483689284186i,0.100429388758073-0.00273252335534156i,0.10424955092536-0.00531751672699426i
0.100685817917549-0.00320133662840781i,0.0981381773473271-0.00288990268103184i,0.0968657616350747-0.00273843985717455i,0.0963223999301456-0.00282532934620631i,0.096208405026463-0.00254526931403731i,0.0965023953128142-0.00241348869693487i,0.0971907445240028-0.00230737192034334i,0.0980868495192851-0.0027167449336208i,0.0992617463940596-0.00362993208963306i,0.101554838611158-0.00601246627626349i
0.0983366732418445-0.00496439217542221i,0.0963346551115271-0.00439511860522639i,0.0951656304616472-0.00406739690155137i,0.0946143853657487-0.00398227227361209i,0.0944398999035294-0.00373265148982051i,0.0949905294387529-0.0036067850182378i,0.0955119773804142-0.00382657115226879i,0.0963350841034547-0.00404859227716401i,0.09666677282463-0.00501709925660017i,0.0975673267568747-0.00632578893947337i
0.0955567390524788-0.00623562535840953i,0.0940032753630874-0.00549995435639579i,0.0930246995424667-0.00513193912079758i,0.0925686172313421-0.00484302709137548i,0.0925608301936256-0.00471810043672147i,0.0928667929446542-0.00468735994181185i,0.0933198489485493-0.0049337195061628i,0.0938234518239057-0.00515921995712742i,0.0940327440103429-0.00559055806758001i,0.0946103315863955-0.00611678908236562i
0.0923110481439274-0.00675980067373451i,0.09120562933635-0.00608384807607764i,0.0903677160303339-0.00566182061039602i,0.0898935879134801-0.00550276060236031i,0.0898866434558123-0.00546672107865753i,0.0902207382287416-0.00539332977187949i,0.090830558220952-0.00547661095674985i,0.0911220768818773-0.00556075455751485i,0.0912169831880307-0.0056268050907743i,0.091944548530943-0.00602558173911166i
0.0879950196097155-0.00655607378986691i,0.0870525924944081-0.00605703827529841i,0.0865186807271819-0.00584908931095713i,0.0861958105887767-0.00557536734061899i,0.0863249333790622-0.00550499025957272i,0.0866798232760151-0.00542649211832645i,0.0872093140062404-0.0056153727008143i,0.0874494499127476-0.00558379387543363i,0.087682827065403-0.00568320830067957i,0.0884086410307731-0.00574847988732571i
0.0849453471398484-0.00603703273065753i,0.0842418920593062-0.00570151920517539i,0.0837388606547614-0.00530242102602438i,0.0835406258778963-0.00520962760316161i,0.0837094019224687-0.00524287250902649i,0.083997929664825-0.0052220327144501i,0.084466928883039-0.00512967931658074i,0.0848101703002572-0.00516672772741986i,0.0851247629040039-0.0050916956187207i,0.0856862527202674-0.00531879289169i
0.0822600432560188-0.0052003365773217i,0.0817124693213575-0.00477385122189385i,0.0814912198214986-0.00463547520008646i,0.0812519348885936-0.00458574225169903i,0.0814484638698828-0.0043626895299247i,0.0817294668825603-0.00451698635355766i,0.0821212363429572-0.00454337484030868i,0.0825365395494488-0.00454831938493997i,0.0827636264222289-0.0046224285900632i,0.0833548483026966-0.00477865895026707i
0.0794334084381888-0.00378509586824122i,0.0791308961397204-0.00347763161137302i,0.0788501545577026-0.00354451659767509i,0.0787539258857853-0.00339271445971735i,0.0789182831929273-0.00342570051999504i,0.0792729342828914-0.00338320051041821i,0.0796311909978235-0.00348845584580771i,0.079931960336286-0.0035415572931446i,0.0802799938303405-0.00341424663458405i,0.0807699424537999-0.00357385960655716i
