1-0.233968462114071i,1-0.232516575983835i,1-0.258319326777403i,1-0.27814413064145i,1-0.254770674389109i,1-0.199913685182305i,1-0.185001504552433i,1-0.178804874879869i,1-0.175448708058448i,1-0.197824369308027i
0.968770973796902-0.139615467112656i,0.918598628157977-0.185784322564505i,0.924944904937651-0.204175413818194i,0.912080478416341-0.216293963002781i,0.895783970727331-0.225410187774972i,0.925447327111001-0.160876537387238i,0.942090241187618-0.135106593266302i,0.935764354099509-0.139264664018269i,0.929946023541424-0.148633348956171i,0.93742753527831-0.162304051570128i
0.933802829902671-0.106063928678789i,0.871362475699102-0.125386611900576i,0.857812187201714-0.141569697551552i,0.85165306768798-0.147039671011882i,0.820236888864363-0.144629930346285i,0.879012999574817-0.102177704654462i,0.908478075644189-0.0877095339988376i,0.903184827699625-0.0926177596073965i,0.88686224846013-0.0961787229743616i,0.887991769226303-0.127479101793681i
0.907245990064982-0.0865716861593562i,0.843748920820708-0.0954660502543013i,0.83432992376381-0.104554654170145i,0.819099261027111-0.107054481067334i,0.798061783711241-0.101551152530254i,0.861483522080951-0.0728323335119856i,0.895496903187583-0.0667267812859357i,0.890026524443363-0.0628131440949965i,0.879406788328167-0.077528496312232i,0.860243480940136-0.108911286444511i
0.870272057790493-0.0766537432455337i,0.796936605936505-0.084978705085606i,0.781954708383366-0.0919079681773913i,0.770113223042739-0.0916698124565344i,0.747098898440511-0.0925672490077032i,0.828359213525636-0.0758130173100943i,0.859845371606975-0.0688978839704372i,0.856427390119414-0.0657720294574432i,0.843065841134215-0.0786035282691462i,0.796909711931675-0.124315924865965i
0.850285102432358-0.0882971560355757i,0.772429289790393-0.0915447678245537i,0.754166915693017-0.0980811666601856i,0.7363553685042-0.0964739969452393i,0.717917510225384-0.0957096338914721i,0.803667349737696-0.0819445332991498i,0.843461362354357-0.0833527852630034i,0.843705969184965-0.0832046223168352i,0.817104232849554-0.102800750450206i,0.744716124274673-0.15369638024641i
0.820419084138766-0.114083861141137i,0.741201033235506-0.109298165340343i,0.719915114520782-0.108557524528655i,0.706155088101609-0.103637933503136i,0.691978897288656-0.103046895139345i,0.781243903636854-0.105192589573822i,0.81559026477896-0.103304807412323i,0.812104677154605-0.111156718211544i,0.771105789662463-0.130183097069084i,0.674910322088767-0.174872544603444i
0.745917443124937-0.177388557551927i,0.671878611147207-0.157992421507657i,0.654226084714277-0.156289463507176i,0.640848135984086-0.153058044453504i,0.626848762160545-0.145192507971303i,0.713278466183778-0.156634196953006i,0.745446199112064-0.165207441308938i,0.7354749084705-0.176364229408436i,0.683967587065193-0.187569553897583i,0.553059846718093-0.196882920086332i
0.643152743969794-0.230831967837906i,0.584317372264144-0.205829407251056i,0.571952868142501-0.197987975280167i,0.560611491074781-0.186030420081063i,0.54823100498253-0.186567632402966i,0.624930506792359-0.207946373826141i,0.651616450898512-0.219413944164331i,0.636897259428409-0.225364266064839i,0.58317521484902-0.221172473037678i,0.454625020817824-0.201538409023208i
0.520065596416339-0.257940320742336i,0.473697896941407-0.232959120311947i,0.468413472135155-0.223561555591621i,0.459483490282905-0.219917537261978i,0.45216061688271-0.214814389003327i,0.517781277168292-0.242125644388246i,0.532988801299766-0.255855048815274i,0.520365953682606-0.254817565727907i,0.461899727337663-0.239246950720165i,0.366346670036845-0.198347122336541i
0.348045097066353-0.261297995338532i,0.31515537055516-0.239861590514765i,0.316153118105384-0.235348947057965i,0.308828622688306-0.232988070462142i,0.303739094191504-0.224403953029699i,0.344306694169614-0.257290758010173i,0.356832701904666-0.264187676214794i,0.348589333912271-0.257865758908983i,0.313294459650337-0.2358456353255i,0.246470534790253-0.192513131698599i
0.222412236804803-0.243060819962416i,0.198718489251349-0.223460647159895i,0.19965297221632-0.217165748712i,0.196075921416101-0.21360118690029i,0.199104822462505-0.208383310141603i,0.225754300412143-0.239421812204912i,0.232923734148805-0.250400290202581i,0.223592586357318-0.240408896020812i,0.202196631388039-0.220109613359918i,0.162096559374845-0.175632674572332i
0.115413424758933-0.209294765363723i,0.10356304824374-0.184157494718103i,0.105243673782961-0.187181625645558i,0.0998354992632954-0.185853015454545i,0.101218684827748-0.18242306655881i,0.116136990989412-0.20655822499106i,0.115783743003172-0.214234445938798i,0.116505538296531-0.207864999775235i,0.105727470869311-0.189422054367944i,0.0819786409821469-0.150100487006229i
0-0.150599627224342i,0-0.138133163532223i,0-0.135543597589879i,0-0.137207330181617i,0-0.134675119790043i,0-0.151458336750476i,0-0.16160463699998i,0-0.155523838418532i,0-0.142410926024434i,0-0.111012225165194i
